archivo,SPR_dB
H1-vocals.wav,-13.553528785705566
H2-vocals.wav,-7.174007296562195
H3-vocals.wav,-10.891636610031128
H5-vocals.wav,-14.999692440032959
IA1-R-vocals.wav,-17.028098106384277
IA2-R-vocals.wav,-11.932581663131714
IA3-U-vocals.wav,-9.712824821472168
IA4-U-vocals.wav,-4.285018742084503
IA5-S-vocals.wav,-14.519151449203491
IA6-R-vocals.wav,-9.964112043380737
